sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-22WR,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2478,19/09/2024 08:29,152.35,0,17.8,141,0,65,34,220,210,18.3,20.7,24,25,49,0,371,63.19103558,14.65968428,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363,15773.83984,140,5.243999958,30,389,63.19096592,14.65958144,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,157.32,0,17.4,141,0,60,36,220,220,23.2,25.6,24,24,48,0,370,63.19106902,14.65974991,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363,15778.78027,140,5.243999958,30,389,63.1910028,14.65965184,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,162.77,0,17.3,139,0,57,36,250,190,26.8,19.7,25,24,49,0,370,63.19110598,14.65982133,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363,15784.36035,141,5.243999958,30,389,63.19103926,14.6597132,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,168.69,0,17.4,139,0,58,38,250,230,23.9,27.4,24,24,48,0,370,63.19114362,14.65990481,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363,15789.45996,142,5.243999958,30,387,63.19107514,14.6597707,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,173.58,0,17.4,136,0,60,38,220,210,22.1,20.4,23,24,47,0,370,63.19117681,14.65996868,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363,15794.48047,142,5.243999958,30,387,63.19111118,14.65982485,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,178.32,0,17.4,134,0,61,40,220,230,22.7,27.2,23,23,46,0,370,63.19120774,14.66003372,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363.2000122,15799.33984,142,5.243999958,30,388,63.19114429,14.65988729,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,183.16,0,17.2,129,0,60,40,220,200,18.7,17.3,22,22,44,0,369,63.19124009,14.66009852,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363.2000122,15803.90039,143,5.224999905,30,386,63.19118159,14.65995577,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,188.18,0,18,129,0,60,42,200,220,21.6,21.4,21,22,43,0,369,63.19127337,14.66016607,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363.2000122,15809.37012,143,5.206999779,30,384,63.19121495,14.66003641,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,193.34,0,18,129,0,59,42,220,220,19.2,20.1,21,22,43,0,369,63.19130656,14.66023782,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363.2000122,15814.73047,143,5.178999901,30,381,63.19125082,14.66011335,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2478,19/09/2024 08:29,198.36,0,17.5,131,0,59,44,210,210,21.6,23.3,22,23,45,0,368,63.19133825,14.66030915,,Running,2024-09-19T06:53:49.000Z,2024-09-19T08:16:03.000Z,838.876,1000,5.393000126,32,111,153,Active,Manual,19/09/2024 08:29,363.2000122,15820.40039,144,5.09499979,30,377,63.19128058,14.66019365,1.192000031,14,126,75,539,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
