sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-9WR,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2166,14/06/2024 07:23,265.44,0,21,116,0,66,29,130,120,15.6,10.5,18,15,33,0,372,63.19165466,14.66095699,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19116952,14.66004479,364.2000122,7318.310059,161,6.894999981,42,700,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,271.18,0,21,116,0,64,30,140,130,16.9,12.8,18,15,33,0,372,63.19169959,14.66101332,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19121713,14.66014478,364,7325.529785,161,7.09100008,40,699,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,277.2,0,21.1,116,0,62,31,140,130,18.4,12.7,18,15,33,0,371,63.19174904,14.6610626,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19125962,14.66024562,364.3999939,7332.77002,162,7.100999832,26,507,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,280.64,0,21.1,113,0,60,32,150,120,17.3,10.6,18,14,32,0,367,63.1917596,14.66112697,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19129474,14.66034058,364.3999939,7338.959961,161,7.212999821,26,523,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,286.42,0,19.3,113,0,62,33,170,110,19.8,8.5,19,14,33,0,367,63.19180327,14.66118934,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19132928,14.66043153,364.3999939,7344.799805,163,7.212999821,21,430,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,291.34,0,18.6,108,0,61,34,160,150,19.4,14.8,21,14,35,0,366,63.19184116,14.66124047,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19136373,14.66052809,364.2000122,7350.919922,163,6.876999855,21,372,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,297.87,0,21.6,106,0,61,35,170,120,21.1,8.8,20,13,33,0,366,63.19189464,14.66129394,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19139843,14.66062498,364.2000122,7357.169922,164,6.625,21,358,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,304.9,0,21.6,101,0,61,36,170,200,21.5,15.9,17,11,28,0,366,63.19195138,14.6613558,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.1914307,14.66071953,364.2000122,7363.27002,165,6.578000069,21,361,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,310.37,0,21.3,101,0,39,37,120,110,9.7,8,15,11,26,0,365,63.19199329,14.66141313,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19146381,14.66080536,364.6000061,7368.899902,164,6.540999889,19,329,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,315.63,0,21.2,101,0,50,38,120,110,9.7,9,15,12,27,0,365,63.19203428,14.66146527,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19149516,14.66089589,364.3999939,7374.5,166,6.316999912,19,319,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
