sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-20NR,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2466,18/09/2024 08:08,250.03,0,28.7,166,0,40,32,220,220,28.4,27.4,21,17,38,0,361,63.19146104,14.66064443,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,362.3999939,6096.790039,157,6.326000214,41,517,63.1912287,14.6600116,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2466,18/09/2024 08:08,257.28,0,26,143,0,42,34,200,200,23.1,22.4,18,15,33,0,361,63.1915053,14.6607508,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,362.3999939,6104.279785,156,6.521999836,41,534,63.19127153,14.66012551,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2466,18/09/2024 08:08,264.77,0,25.3,143,0,41,34,200,200,23.7,20.3,17,14,31,0,361,63.19155333,14.66085532,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,362.3999939,6111.089844,156,6.586999893,41,545,63.19131872,14.6602276,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2466,18/09/2024 08:08,271.99,0,26.8,143,0,41,35,200,210,23.7,18.4,16,14,30,0,361,63.1916099,14.6609264,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,362.6000061,6117.850098,159,6.625,41,565,63.1913556,14.66032214,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2466,18/09/2024 08:08,278.98,0,27,144,0,41,36,200,210,21.4,18.4,17,15,32,0,361,63.19166397,14.66099714,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,362.7999878,6125.379883,159,6.625,41,591,63.19139625,14.66043295,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2466,18/09/2024 08:08,286.28,0,26,165,0,48,36,200,210,22.5,20,19,19,38,0,361,63.19172532,14.66104886,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,362.7999878,6133.52002,160,6.625,41,566,63.19145056,14.66056539,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2466,18/09/2024 08:08,294.24,0,26,165,0,55,37,200,200,22.5,22.4,21,23,44,0,362,63.19178768,14.66112681,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,362.7999878,6140.02002,161,6.96999979,41,630,63.19148744,14.66064476,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2466,18/09/2024 08:08,301.03,0,21.9,168,0,61,38,200,200,27.2,30.6,22,24,46,0,362,63.19184183,14.66118959,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,363,6148.419922,161,6.96999979,41,632,63.19153757,14.66076085,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2466,18/09/2024 08:08,306.8,0,21.5,168,0,62,40,160,160,19.3,18.1,20,23,43,0,364,63.19188726,14.66124516,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,363,6155.569824,161,7.118999958,41,654,63.19158618,14.66085968,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2466,18/09/2024 08:08,314.9,0,25.3,168,0,60,40,140,190,14.1,23.4,19,22,41,0,364,63.19195658,14.66129495,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,363,6163.140137,161,7.081999779,41,628,63.19164184,14.66094844,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
