sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2160,12/06/2024 08:27,334.23,0,21.9,146,0,37,42,230,210,30.7,29.8,18,20,38,0,367,63.19236319,14.66199274,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364.7999878,19335.84961,169,7.110000134,34,669,63.1917762,14.66120962,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2160,12/06/2024 08:27,340.87,0,21.9,146,0,37,42,230,210,27.7,29.8,18,21,39,0,367,63.19239621,14.66210296,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.2000122,19343.58984,170,7.110000134,30,601,63.19183412,14.6612641,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2160,12/06/2024 08:27,348,0,22.4,153,0,37,43,230,240,27.7,35.9,18,23,41,0,367,63.19243385,14.6622183,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.3999939,19350.30078,170,7.110000134,22,458,63.19189028,14.66132076,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,354.24,0,22.7,178,0,64,44,200,150,24.8,22.4,20,27,47,0,367,63.19246394,14.66232316,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.2000122,19357.66016,170,7.110000134,22,454,63.19194971,14.66138933,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,360.37,0,22.4,202,0,58,45,150,220,14.4,36.3,22,32,54,0,367,63.19249788,14.66241955,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.6000061,19365.16992,171,6.857999802,24,483,63.19200067,14.66144716,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,366.77,0,20.9,202,0,62,46,220,220,27.3,31.9,23,35,58,0,367,63.1925237,14.66253354,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.3999939,19371.35938,171,6.764999866,28,535,63.19205624,14.66151246,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,373.13,0,21.8,202,0,61,47,220,230,20.4,37.4,23,35,58,0,368,63.1925434,14.66265265,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.3999939,19378.43945,171,6.690000057,36,663,63.19211223,14.66157155,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,379.5,0,21.8,202,0,61,48,210,200,27.6,31.7,22,34,56,0,369,63.19255999,14.6627741,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.3999939,19385.33008,171,6.521999836,35,638,63.19216521,14.66164598,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,382.79,0,21.2,194,0,60,49,110,220,9.7,33.4,22,33,55,0,369,63.19256016,14.66283982,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.6000061,19392.39063,172,6.521999836,37,677,63.19221793,14.66171371,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,389.22,0,18.8,169,0,61,50,220,210,27.8,27.7,22,32,54,0,368,63.19257919,14.66296068,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.6000061,19399.36914,171,7.324999809,36,788,63.19226788,14.66179191,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,394.62,0,16.9,143,0,62,51,190,220,18.2,35,21,30,51,0,369,63.19258858,14.66306613,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.6000061,19406.08984,171,7.324999809,36,789,63.19231968,14.66186944,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,398.91,0,16.9,135,0,46,52,220,160,23.1,22.1,19,29,48,0,369,63.19259277,14.66315137,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.6000061,19413.25977,171,7.287000179,27,637,63.19236369,14.66195134,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,404.6,0,16.9,131,0,47,52,220,220,23.1,30.8,18,28,46,0,369,63.19260282,14.6632621,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.7999878,19419.53906,171,6.96999979,22,512,63.19240853,14.66204471,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,408.2,0,16.4,131,0,61,54,200,200,19.4,20.9,20,28,48,0,369,63.19260383,14.66333343,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.7999878,19426.59961,172,6.960999966,22,450,63.19244709,14.66214429,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,412.49,0,14.2,131,0,61,54,200,220,19.7,29.2,21,31,52,0,369,63.19260383,14.6634185,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.7999878,19433.07031,172,6.96999979,18,387,63.19248531,14.66225074,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
