sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,RowColor,Lap,Gear,Gear2
2113,04/06/2024 14:39,242.55,0,15.4,41,166,0,24,140,0,10.3,0,11,4,15,0,355,63.19102963,14.65971789,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.3999939,14153.44043,165,5.112999916,34,383,63.19092083,14.65951723,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,247.65,0,15.4,41,166,0,24,160,0,11.1,0,11,4,15,0,354,63.19106743,14.65977556,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.3999939,14157.51953,165,5.066999912,34,381,63.1909526,14.65955445,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,252.07,0,16.6,41,167,0,24,160,0,11.1,0,11,4,15,0,354,63.19110054,14.65982426,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.6000061,14162.11035,166,5.066999912,34,381,63.19098721,14.65960004,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,256.48,0,16.6,47,166,0,25,180,0,13.1,0,12,5,17,0,354,63.19113172,14.65987874,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.3999939,14165.79004,167,5.028999805,33,373,63.19101655,14.6596412,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,260.71,0,16,51,167,0,26,180,150,13.1,9.7,13,6,19,0,356,63.19116147,14.6599313,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.3999939,14170.28027,167,4.992000103,34,372,63.191051,14.65969124,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,265.35,0,15.8,52,168,38,26,190,150,16.1,9.7,13,7,20,0,357,63.19119215,14.65999399,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.2000122,14175.36035,167,4.916999817,34,366,63.19108654,14.65975218,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,269.89,0,15.7,53,167,32,26,110,0,6.3,0,13,7,20,0,358,63.19121998,14.66006004,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.2000122,14180.07031,167,4.880000114,34,354,63.19112007,14.65980641,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,274.38,0,15.7,53,167,32,27,180,0,12.8,0,14,7,21,0,358,63.19124672,14.6601271,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.2000122,14184.62988,167,4.861000061,34,349,63.19115141,14.65986793,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,278.74,0,15.2,52,167,36,28,140,120,9.6,8.4,14,7,21,0,358,63.19127387,14.66019013,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.2000122,14189.24023,167,4.842999935,34,353,63.19118184,14.65992417,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,283.08,0,14.8,47,167,36,29,140,120,9.1,8.4,13,6,19,0,358,63.19130086,14.66025249,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.2000122,14193.36035,167,4.823999882,34,352,63.19120556,14.65998997,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,287.81,0,16.1,46,167,0,30,170,0,13.3,0,12,5,17,0,358,63.19133087,14.66031921,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.2000122,14197.82031,167,4.77699995,33,348,63.19123423,14.66005384,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,292.5,0,16.1,38,167,0,30,170,0,13.3,0,10,4,14,0,358,63.19135937,14.66038828,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.3999939,14202.44043,167,4.656000137,33,340,63.19126097,14.66012467,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,297.16,0,16.1,38,167,0,30,130,0,9.5,0,9,4,13,0,359,63.19138535,14.6604612,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.3999939,14207.37988,167,4.552999973,33,333,63.19129189,14.66019264,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,302.39,0,16.1,38,167,0,30,130,0,9.5,0,10,4,14,0,359,63.1914188,14.66053446,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.6000061,14212.07031,167,4.515999794,33,332,63.19131922,14.66026272,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,310.05,0,18.1,42,168,0,30,150,0,10.7,0,10,5,15,0,359,63.19147688,14.66061668,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.6000061,14216.15039,167,4.515999794,32,333,63.19134487,14.66032131,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,314.51,0,18.4,42,167,0,30,150,0,10.7,0,10,6,16,0,359,63.19150588,14.66067787,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.6000061,14220.66992,167,4.580999851,32,337,63.1913727,14.66038618,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,320.04,0,18.1,42,168,0,32,170,110,12.2,5.9,9,5,14,0,359,63.19153933,14.66075985,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.6000061,14224.58984,168,4.580999851,32,347,63.19139784,14.66044888,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,325.43,0,18.2,39,168,0,32,170,110,12.2,5.9,7,5,12,0,359,63.19157319,14.66083663,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.6000061,14230.2002,167,4.580999851,32,345,63.19142911,14.66053152,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
